STN_NAME,STN_NO,LATITUDE,LONGITUDE
SOUTH VIEW LRT STATION,BP2,1.3802982869999998,103.74529179999999
LAYAR LRT STATION,SW6,1.3920798369999998,103.8800296
KANGKAR LRT STATION,SE4,1.3839591169999998,103.9022254
MERIDIAN LRT STATION,PE2,1.39691205,103.90895019999999
CHENG LIM LRT STATION,SW1,1.3962776330000002,103.89379720000001
PUNGGOL POINT LRT STATION,PW3,1.41684852,103.9066508
SUMANG LRT STATION,PW6,1.408452419,103.8985585
FERNVALE LRT STATION,SW5,1.391885885,103.87630859999999
TONGKANG LRT STATION,SW7,1.3893479469999999,103.88584420000001
PENDING LRT STATION,BP8,1.376135743,103.77126120000001
TECK LEE LRT STATION,PW2,1.412770894,103.90657759999999
BANGKIT LRT STATION,BP9,1.38002223,103.77264740000001
BAKAU LRT STATION,SE3,1.387994311,103.90541529999999
RUMBIA LRT STATION,SE2,1.391468495,103.9059736
COMPASSVALE LRT STATION,SE1,1.394493045,103.9004925
RANGGUNG LRT STATION,SE5,1.3842335590000001,103.8971947
PHOENIX LRT STATION,BP5,1.378615451,103.75799559999999
SEGAR LRT STATION,BP11,1.387785087,103.7695997
SENGKANG LRT STATION,STC,1.391609364,103.8954426
BRAS BASAH MRT STATION,CC2,1.296861686,103.8506674
MACPHERSON MRT STATION,CC10,1.326077602,103.89039129999999
CITY HALL MRT STATION,EW13 / NS25,1.292936722,103.8525856
TAMPINES EAST MRT STATION,DT33,1.3561914830000001,103.9546345
TAMPINES WEST MRT STATION,DT31,1.345515306,103.938437
GEYLANG BAHRU MRT STATION,DT24,1.321301102,103.8716226
BENDEMEER MRT STATION,DT23,1.313672528,103.8629776
BENCOOLEN MRT STATION,DT21,1.298918434,103.8503538
HARBOURFRONT MRT STATION,NE1 / CC29,1.2653893840000001,103.8215302
PROMENADE MRT STATION,DT15,1.292891754,103.86089179999999
BUGIS MRT STATION,DT14,1.2993135040000001,103.857126
KENT RIDGE MRT STATION,CC24,1.293533499,103.78457270000001
MACPHERSON MRT STATION,DT26,1.326150245,103.88929859999999
PUNGGOL MRT STATION,NE17,1.4045465369999999,103.9020726
TANJONG PAGAR MRT STATION,EW15,1.276561317,103.8457252
ONE-NORTH MRT STATION,CC23,1.299759875,103.7874575
BISHAN MRT STATION,CC15,1.351315801,103.84914029999999
STADIUM MRT STATION,CC6,1.302812468,103.8753377
BUGIS MRT STATION,EW12,1.300464463,103.85570609999999
SOMERSET MRT STATION,NS23,1.3002641670000001,103.8390858
ORCHARD MRT STATION,NS22,1.303979934,103.8322453
JALAN BESAR MRT STATION,DT22,1.305171388,103.8552957
BAYFRONT MRT STATION,DT16 / CE1,1.281873789,103.85907979999999
SENGKANG MRT STATION,NE16,1.391694626,103.89548470000001
BUKIT BROWN MRT STATION,CC18,1.333728883,103.8306895
MOUNTBATTEN MRT STATION,CC7,1.306201905,103.8825281
KOVAN MRT STATION,NE13,1.360179171,103.8850649
FORT CANNING MRT STATION,DT20,1.292481948,103.8443314
FARRER ROAD MRT STATION,CC20,1.317439152,103.8073792
EXPO MRT STATION,DT35,1.3353825259999998,103.9623747
DOWNTOWN MRT STATION,DT17,1.27944619,103.8528404
BUONA VISTA MRT STATION,CC22,1.306634504,103.7907094
ESPLANADE MRT STATION,CC3,1.293657725,103.8550812
NICOLL HIGHWAY MRT STATION,CC5,1.2997668470000001,103.863637
CALDECOTT MRT STATION,CC17,1.3376745079999999,103.8395298
MARINA BAY MRT STATION,NS27,1.2764102990000001,103.8545955
MARINA BAY MRT STATION,CE2,1.276251464,103.8554472
LABRADOR PARK MRT STATION,CC27,1.272254177,103.8026316
CHINATOWN MRT STATION,NE4,1.284359593,103.8434267
CHINATOWN MRT STATION,DT19,1.284223919,103.8451438
NEWTON MRT STATION,DT11,1.313992863,103.8377146
TAN KAH KEE MRT STATION,DT8,1.325556235,103.8077603
TIONG BAHRU MRT STATION,EW17,1.286102536,103.82744509999999
HILLVIEW MRT STATION,DT3,1.362344868,103.7674183
KING ALBERT PARK MRT STATION,DT6,1.335661613,103.7833991
MATTAR MRT STATION,DT25,1.326876715,103.8832475
UBI MRT STATION,DT27,1.32997426,103.8992267
BEAUTY WORLD MRT STATION,DT5,1.341223176,103.7757943
KAKI BUKIT MRT STATION,DT28,1.33496736,103.9084593
TAMPINES MRT STATION,DT32,1.3551504109999999,103.9430099
BEDOK NORTH MRT STATION,DT29,1.334742117,103.91797829999999
DHOBY GHAUT MRT STATION,NS24,1.298701325,103.8461137
SERANGOON MRT STATION,CC13,1.350633615,103.8727717
WOODLEIGH MRT STATION,NE11,1.339190045,103.8708183
NOVENA MRT STATION,NS20,1.320440791,103.84382559999999
SERANGOON MRT STATION,NE12,1.3497078809999998,103.8735748
BEDOK RESERVOIR MRT STATION,DT30,1.33660783,103.93223459999999
MARINA SOUTH PIER MRT STATION,NS28,1.271027036,103.8624475
FARRER PARK MRT STATION,NE8,1.311905573,103.8534777
PAYA LEBAR MRT STATION,CC9,1.317247385,103.8922608
BARTLEY MRT STATION,CC12,1.342501178,103.8801779
DAKOTA MRT STATION,CC8,1.308547984,103.8890647
PASIR PANJANG MRT STATION,CC26,1.276213522,103.7913503
OUTRAM PARK MRT STATION,NE3,1.279720594,103.8394399
CLARKE QUAY MRT STATION,NE5,1.288386024,103.8465552
BISHAN MRT STATION,NS17,1.350838988,103.84814399999999
BOTANIC GARDENS MRT STATION,DT9,1.322488071,103.816014
MARYMOUNT MRT STATION,CC16,1.348707263,103.83942309999999
HAW PAR VILLA MRT STATION,CC25,1.282571358,103.7817527
LORONG CHUAN MRT STATION,CC14,1.351612171,103.86415190000001
LAVENDER MRT STATION,EW11,1.307377817,103.8627676
DHOBY GHAUT MRT STATION,NE6,1.2997054590000001,103.84548819999999
DHOBY GHAUT MRT STATION,CC1,1.2989116440000001,103.8462925
TAI SENG MRT STATION,CC11,1.3351415009999998,103.88838929999999
ROCHOR MRT STATION,DT13,1.303852185,103.8527694
LITTLE INDIA MRT STATION,DT12,1.307018268,103.8486609
LITTLE INDIA MRT STATION,NE7,1.306800197,103.84964709999998
STEVENS MRT STATION,DT10,1.320065558,103.82602440000001
BUKIT PANJANG MRT STATION,DT1,1.379002116,103.76153509999999
CASHEW MRT STATION,DT2,1.369815449,103.7644392
SIXTH AVENUE MRT STATION,DT7,1.330857645,103.7969068
TOA PAYOH MRT STATION,NS19,1.332629281,103.8475022
WOODLANDS SOUTH MRT STATION,TE3,1.427396053,103.79326429999999
POTONG PASIR MRT STATION,NE10,1.33137949,103.8690557
HOUGANG MRT STATION,NE14,1.371292266,103.8923805
BOON KENG MRT STATION,NE9,1.319335709,103.8615695
UPPER CHANGI MRT STATION,DT34,1.341739784,103.9614726
CHANGI AIRPORT MRT STATION,CG2,1.357478974,103.98788359999999
WOODLANDS MRT STATION,TE2,1.436057617,103.78793879999999
BRADDELL MRT STATION,NS18,1.340469001,103.8467991
BUANGKOK MRT STATION,NE15,1.38287002,103.89312259999998
PROMENADE MRT STATION,CC4,1.293997986,103.86035
BOTANIC GARDENS MRT STATION,CC19,1.322113736,103.8149845
RAFFLES PLACE MRT STATION,EW14 / NS26,1.28412561,103.8514617
HOLLAND VILLAGE MRT STATION,CC21,1.312240296,103.79639909999999
OUTRAM PARK MRT STATION,EW16,1.2814050479999999,103.83913100000001
TELOK BLANGAH MRT STATION,CC28,1.270706477,103.80976159999999
TELOK AYER MRT STATION,DT18,1.282068948,103.8486488
NEWTON MRT STATION,NS21,1.312318922,103.83798459999998
CANBERRA MRT STATION,NS12,1.443076641,103.82970259999999
WOODLANDS NORTH MRT STATION,TE1,1.448292453,103.7856927
