PROJECT_NAME,LATITUDE,LONGITUDE
CASA FLORA,1.321217864,103.9503635
CASA FORTUNA,1.328423911,103.84808829999999
CASA IRRAWADDY,1.32494596,103.8460252
CASA JERVOIS,1.294791691,103.81897109999998
CASA MERAH,1.329204098,103.9455775
CASA MEYA,1.330900894,103.8669017
CASA NOVACREST,1.309156452,103.838068
CASA PASIR RIS,1.379956542,103.9636189
CASA RIVIERA,1.354783184,103.8754959
CASA ROSA,1.346107364,103.879357
CASA SARINA,1.320443354,103.907327
CASA SOPHIA,1.302532676,103.8463128
CASABELLA,1.323963494,103.7996181
CASABLANCA,1.43034338,103.78615079999999
CASAFINA,1.315913265,103.9339082
CASCADALE,1.3457708869999998,103.96358659999999
CASCATA,1.328415202,103.90861070000001
CASERO @ DUNMAN,1.309700898,103.8938208
CASHEW ESTATE,1.3712382719999998,103.7663113
CASHEW GREEN,1.372760374,103.76941020000001
CASHEW PARK CONDOMINIUM,1.3708290140000001,103.7677618
CASHEW VILLAS,1.371634026,103.7695544
CASPIAN,1.3428483690000002,103.71806109999999
CASSIA VIEW,1.310991933,103.8865907
CASTLE GREEN,1.3860717830000002,103.841062
CASTLE LOFT,1.3140138909999999,103.9146839
CASUARINA COVE,1.297717673,103.8744388
CATHAY GARDEN,1.309240908,103.91940859999998
CAVAN SUITES,1.310932518,103.8612061
CAVENAGH COURT,1.309865682,103.84317490000001
CAVENAGH GARDENS,1.305184222,103.84083129999999
CAVENAGH HOUSE,1.307939862,103.8407558
CAVENDISH PARK,1.316582417,103.77540040000001
CAYMAN RESIDENCES,1.309558875,103.9217629
CELADON VIEW,1.3783196830000002,103.9565476
CELESTIA,1.314645437,103.90447809999999
CENTENNIA SUITES,1.292969212,103.8335342
CENTRA HEIGHTS,1.316304949,103.88656999999999
CENTRA LOFT,1.314815507,103.8883692
CENTRA RESIDENCE,1.3128356890000001,103.8759337
CENTRA STUDIOS,1.3144439490000002,103.8823271
CENTRA SUITES,1.31465155,103.8832647
CENTRAL GREEN CONDOMINIUM,1.285313927,103.82830030000001
CENTRAL GROVE,1.316066797,103.88445949999999
CENTRAL IMPERIAL,1.311943852,103.87921340000001
CENTRAL MEADOWS,1.312271089,103.88817540000001
CENTRAL VIEW,1.353072881,103.8783866
CENTRINA,1.316087847,103.9016643
CENTRO RESIDENCES,1.37030496,103.84831590000002
CENTURION 12,1.3554002019999998,103.8334733
CENTURION RESIDENCES,1.329620938,103.8699567
CENTURY MANSIONS,1.357492659,103.7621084
CENTURY WOODS,1.427647928,103.77637179999999
CEYLON CREST,1.306208953,103.9027713
CEYLON RESIDENCE,1.309049768,103.89984179999999
CHANCERY COURT,1.316949785,103.8365385
CHANCERY ESQUIRE,1.317681093,103.8365073
CHANCERY HILL VILLAS,1.32538269,103.83900159999999
CHANCERY PARK,1.319187921,103.83673370000001
CHANGI COURT,1.343427748,103.96291240000001
CHANGI GREEN,1.3446055030000001,103.96350859999998
CHANGI GROVE,1.362908213,103.970485
CHANGI HEIGHTS,1.363141653,103.972491
CHANGI RISE CONDOMINIUM,1.3477016259999999,103.95956070000001
